0.|Did you actually participate in the GGJ 2020?|2.|8.1|8.2|8.3|9.|10.|1.|3.|4.|5.|6.|7.
2/17/2020 22:20:27|Yes|Pamplona, Spain|Occasionally|Occasionally|Occasionally||Other jammers in the same location|Male|22|Bachelor’s degree (e.g. BA, BS)|Two years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/17/2020 22:31:05|Yes|Melbourne Australia|Never|Frequently|Never||Other jammers in the same location|Female|22|Some college, no degree|Four years|Yes, one game jam|Yes, as a hobbyist
2/17/2020 22:36:41|Yes|Pamplona, Spain|Occasionally|Frequently|Frequently|I sometimes went to some other groups if I had any doubts about how to do specific things or some quick feedback and I would take some break walks around the groups to watch and give feedback to other people (And of course to chat a bit with everyone)|Other jammers in the same location|Male|21|Some college, no degree|Three years|Yes, one game jam|Yes, as a student
2/17/2020 22:42:52|Yes|Espanha, Madri|Rarely|Rarely|Occasionally||Mentors/organizers|Male|19|High school degree or equivalent (e.g. GED)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/17/2020 22:47:33|Yes|Montevideo, Uriguay|Occasionally|Occasionally|Frequently||Other jammers in the same location|Female|22|Some college, no degree|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/17/2020 22:50:48|Yes|Sri Lanka|Occasionally|Occasionally|Occasionally||Mentors/organizers|Male|23|Less than a high school diploma|Four years|Yes, one game jam|Yes, as a student
2/17/2020 22:56:12|Yes|Seoul, South Korea|Occasionally|Rarely|Occasionally||People participating in the jam, but in other location|Male|36|Bachelor’s degree (e.g. BA, BS)|More than five years|Three game jams|Yes,  professionally (employed)
2/17/2020 22:58:51|Yes|Melbourne Australia |Occasionally|Occasionally|Occasionally||Mentors/organizers|Female|27|Master’s degree (e.g. MA, MS, MEd)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/17/2020 23:00:25|Yes|Melbourne, Australia|Occasionally|Occasionally|Rarely||Other jammers in the same location|Male|34|Bachelor’s degree (e.g. BA, BS)|More than five years|Three game jams|Yes, as a hobbyist
2/17/2020 23:14:02|Yes|Melbourne, Australia|Rarely|Frequently|Frequently|I was a volunteer at our site, and I helped organizers and jammers to ensure a smooth event.|Mentors/organizers|Female|32|Master’s degree (e.g. MA, MS, MEd)|More than five years|More than five game jams|Yes,  professionally (employed)
2/17/2020 23:19:03|Yes|Dundee, Scotland|Never|Never|Never||Other jammers in the same location|Male|21|Bachelor’s degree (e.g. BA, BS)|Four years|Three game jams|Yes, as a student
2/17/2020 23:22:25|Yes|Dundee, United Kingdom|Never|Rarely|Never||Online sources (websites, online documentation, etc.)|Male|26|Bachelor’s degree (e.g. BA, BS)|Less than one year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/17/2020 23:28:34|Yes|Melbourne, Australia|Rarely|Occasionally|Never|"Brainstorming was done individually and we came back together as a group to pitch to each other for ideation.  Once we had voted for an idea we started development.  Other teams were still in ideation phase where we assisted with ideas and scoping.  

Mentors assisted with technical issues throughout the weekend as well as general assistance and admin and running the event "|Other jammers in the same location|Female|38|Bachelor’s degree (e.g. BA, BS)|Three years|No, the GGJ 2020 was my first game jam|Yes,  professionally (employed)
2/17/2020 23:39:44|Yes|Colombo, Srilanka |Rarely|Rarely|Rarely|no|Online sources (websites, online documentation, etc.)|Male|20|Bachelor’s degree (e.g. BA, BS)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/17/2020 23:43:46|Yes|Melbourne, Australia|Never|Rarely|Occasionally|We got help from the sound and sound effect team, which I think was a group of students from the music academy that hosted the event. Having music was a nice add-on to our game, and being able to work with them was a fantastic experience.|Other jammers in the same location|Female|31|Bachelor’s degree (e.g. BA, BS)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/17/2020 23:46:48|Yes|Montevideo, Uruguay|Occasionally|Rarely|Never||Other jammers in the same location|Male|21|Bachelor’s degree (e.g. BA, BS)|One year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 0:03:49|Yes|Uruguay|Occasionally|Never|Rarely||People participating in the jam, but in other location|Male|29|Bachelor’s degree (e.g. BA, BS)|Two years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 0:35:36|Yes|SEOUL ,KOREA|Occasionally|Occasionally|Occasionally||Other jammers in the same location|Prefer not to say|23|Some college, no degree|Four years|Five game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 0:41:02|Yes|Melbourne, Australia|Occasionally|Rarely|Rarely||Online sources (websites, online documentation, etc.)|Male|38|Bachelor’s degree (e.g. BA, BS)|More than five years|Four game jams|Yes, as a hobbyist
2/18/2020 0:59:42|Yes|Colombo,Sri Lanka|Occasionally|Occasionally|Frequently|mentors did came to help us on technical part in games|Online sources (websites, online documentation, etc.)|Male|25|Bachelor’s degree (e.g. BA, BS)|One year|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 1:22:28|Yes|Melbourne, Australia|Occasionally|Occasionally|Occasionally||Mentors/organizers|Male|37|Master’s degree (e.g. MA, MS, MEd)|More than five years|Yes, one game jam|Yes,  professionally (employed)
2/18/2020 1:24:38|Yes|Carlinville, United States|Very Frequently|Very Frequently|Very Frequently||Online sources (websites, online documentation, etc.)|Male|20|High school degree or equivalent (e.g. GED)|Two years|No, the GGJ 2020 was my first game jam|Yes, as a student
